content_id,content_type,source
462167,1511283,928291
2092880,1974491,1687910
614011,509284,181629
2056298,1707393,449955
1392462,1704571,1191909
811743,1738760,740794
2005618,1240966,899389
252066,756129,1336017
256735,198472,81850
1704937,1672096,1417797
1891719,1585391,1779169
477236,163250,301264
762260,918187,1874949
158034,15462,1338310
348187,1918763,1614274
1938614,366346,1345902
1582844,334235,1318404
762481,200201,1839822
549864,1045610,90769
812764,1341187,640348
1143126,812956,1027659
1954153,1843288,2097520
498743,539903,1183110
1323270,2065686,580493
146689,1077363,1753590
134972,43829,1264049
387145,1776168,3000
1881679,1925991,431960
1995841,428213,356201
1056302,758698,1751850
945599,1300303,855345
992889,1836161,61470
127021,1421578,703780
1848482,176698,1315328
1691079,1537797,318666
438041,509466,502181
1835310,84471,1870693
1542582,1582983,1455780
461217,380920,105406
903836,25096,951480
1069249,1558030,1783503
1667529,1376637,1702057
371162,384574,1662970
1174170,1030421,433946
1051145,574541,1271855
1686526,27830,296152
1306015,486280,1870858
109554,321924,1272881
699552,808418,954915
856090,1998453,756798
1694941,2075607,206525
1780010,138977,293709
1756926,626111,1666042
1999980,1313337,1128666
2034633,1023168,581584
433555,412935,108296
1889303,1756918,1158010
1266062,330754,1306339
1527624,1476387,1250523
1452404,1181611,261100
287114,1543447,1488623
1992327,270606,95891
1417311,734934,655578
1113635,48604,2005307
347688,469577,637338
1417032,1843452,1476721
572356,1957795,1945483
542654,696966,1985766
843198,1362735,527564
1087666,1681625,1025053
1719664,1732614,1901005
149833,1873422,219808
1809613,507536,325843
1840328,455411,225148
939190,528718,1703370
1268745,249355,1570052
689383,1792599,518379
823684,709550,1204923
1893902,1835892,1067174
1356240,241376,1162220
1915277,458937,14554
134465,1625913,1405578
251524,1060880,1726488
1832968,1515139,326795
189903,375927,1858054
155684,1390471,435189
1341075,1768125,762866
288787,465085,1788331
721510,2053859,1743459
27013,1647501,22732
1816542,1870680,1952527
1618580,2101849,1286195
1930422,756845,578044
295749,677682,1918803
159811,1324227,283066
213757,1103177,507475
841061,820517,1281725
1336740,990260,865255
1651970,1430677,2017295
1024460,1089319,815798
947962,610422,1038345
336868,2095417,920000
1097283,1816921,791526
